,index,sepal_length,sepal_width,petal_length,petal_width,class
0,103,6.3,2.9,5.6,1.8,Iris-virginica
1,129,7.2,3.0,5.8,1.6,Iris-virginica
2,20,5.4,3.4,,0.2,Iris-setosa
3,112,6.8,3.0,5.5,2.1,Iris-virginica
4,111,6.4,2.7,5.3,1.9,Iris-virginica
5,121,5.6,2.8,4.9,2.0,Iris-virginica
6,25,5.0,3.0,1.6,0.2,Iris-setosa
7,149,5.9,3.0,5.1,1.8,Iris-virginica
8,139,6.9,3.1,5.4,2.1,Iris-virginica
9,96,5.7,2.9,4.2,1.3,Iris-versicolor
10,130,7.4,2.8,6.1,1.9,Iris-virginica
11,39,5.1,3.4,,0.2,Iris-setosa
12,78,6.0,2.9,4.5,1.5,Iris-versicolor
13,44,5.1,3.8,1.9,0.4,Iris-setosa
14,77,6.7,3.0,5.0,1.7,Iris-versicolor
15,22,4.6,3.6,1.0,0.2,Iris-setosa
16,3,4.6,3.1,1.5,0.2,Iris-setosa
17,75,6.6,3.0,4.4,1.4,Iris-versicolor
18,62,6.0,2.2,4.0,1.0,Iris-versicolor
19,58,6.6,2.9,4.6,1.3,Iris-versicolor
20,18,5.7,3.8,1.7,0.3,Iris-setosa
21,27,5.2,3.5,,0.2,Iris-setosa
22,119,6.0,2.2,5.0,1.5,Iris-virginica
23,105,7.6,3.0,6.6,2.1,Iris-virginica
24,113,5.7,2.5,5.0,2.0,Iris-virginica
25,142,5.8,2.7,5.1,1.9,Iris-virginica
26,57,4.9,2.4,3.3,1.0,Iris-versicolor
27,110,6.5,3.2,5.1,2.0,Iris-virginica
28,109,7.2,3.6,6.1,2.5,Iris-virginica
29,52,6.9,3.1,4.9,1.5,Iris-versicolor
